geometry
"POLYGON ((150167.48842943 441558.69011467765, 150042.48842943 441775.19646562374, 149792.48842943 441775.19646562374, 149667.48842943 441558.69011467765, 149792.48842943 441342.18376373156, 150042.48842943 441342.18376373156, 150167.48842943 441558.69011467765))"
"POLYGON ((150600.50113132223 441558.69011467765, 150475.50113132223 441775.19646562374, 150225.50113132223 441775.19646562374, 150100.50113132223 441558.69011467765, 150225.50113132223 441342.18376373156, 150475.50113132223 441342.18376373156, 150600.50113132223 441558.69011467765))"
"POLYGON ((151033.51383321444 441558.69011467765, 150908.51383321444 441775.19646562374, 150658.51383321444 441775.19646562374, 150533.51383321444 441558.69011467765, 150658.51383321444 441342.18376373156, 150908.51383321444 441342.18376373156, 151033.51383321444 441558.69011467765))"
"POLYGON ((151466.52653510665 441558.69011467765, 151341.52653510665 441775.19646562374, 151091.52653510665 441775.19646562374, 150966.52653510665 441558.69011467765, 151091.52653510665 441342.18376373156, 151341.52653510665 441342.18376373156, 151466.52653510665 441558.69011467765))"
"POLYGON ((166621.97110133435 441558.69011467765, 166496.97110133435 441775.19646562374, 166246.97110133435 441775.19646562374, 166121.97110133435 441558.69011467765, 166246.97110133435 441342.18376373156, 166496.97110133435 441342.18376373156, 166621.97110133435 441558.69011467765))"
"POLYGON ((167054.98380322655 441558.69011467765, 166929.98380322655 441775.19646562374, 166679.98380322655 441775.19646562374, 166554.98380322655 441558.69011467765, 166679.98380322655 441342.18376373156, 166929.98380322655 441342.18376373156, 167054.98380322655 441558.69011467765))"
"POLYGON ((167487.9965051188 441558.69011467765, 167362.9965051188 441775.19646562374, 167112.9965051188 441775.19646562374, 166987.9965051188 441558.69011467765, 167112.9965051188 441342.18376373156, 167362.9965051188 441342.18376373156, 167487.9965051188 441558.69011467765))"
"POLYGON ((167921.009207011 441558.69011467765, 167796.009207011 441775.19646562374, 167546.009207011 441775.19646562374, 167421.009207011 441558.69011467765, 167546.009207011 441342.18376373156, 167796.009207011 441342.18376373156, 167921.009207011 441558.69011467765))"
"POLYGON ((168354.0219089032 441558.69011467765, 168229.0219089032 441775.19646562374, 167979.0219089032 441775.19646562374, 167854.0219089032 441558.69011467765, 167979.0219089032 441342.18376373156, 168229.0219089032 441342.18376373156, 168354.0219089032 441558.69011467765))"
"POLYGON ((168787.03461079544 441558.69011467765, 168662.03461079544 441775.19646562374, 168412.03461079544 441775.19646562374, 168287.03461079544 441558.69011467765, 168412.03461079544 441342.18376373156, 168662.03461079544 441342.18376373156, 168787.03461079544 441558.69011467765))"
